num_columnas_eliminadas,combinacion,observaciones
3,"['valor_COL_HDL', 'valor_FERRITINA', 'valor_VIT_D']",374
3,"['valor_COL_HDL', 'valor_FOL', 'valor_HCST']",374
3,"['valor_COL_HDL', 'valor_FOL', 'valor_PROTCREAC']",375
3,"['valor_COL_HDL', 'valor_FOL', 'valor_STFR_FEB23']",396
3,"['valor_COL_HDL', 'valor_FOL', 'valor_VIT_B12']",374
3,"['valor_COL_HDL', 'valor_FOL', 'valor_VIT_D']",374
3,"['valor_COL_HDL', 'valor_HCST', 'valor_PROTCREAC']",375
3,"['valor_COL_HDL', 'valor_HCST', 'valor_STFR_FEB23']",396
3,"['valor_COL_HDL', 'valor_HCST', 'valor_VIT_B12']",374
3,"['valor_COL_HDL', 'valor_HCST', 'valor_VIT_D']",374
3,"['valor_COL_HDL', 'valor_PROTCREAC', 'valor_STFR_FEB23']",397
3,"['valor_COL_HDL', 'valor_PROTCREAC', 'valor_VIT_B12']",375
3,"['valor_COL_HDL', 'valor_PROTCREAC', 'valor_VIT_D']",375
3,"['valor_COL_HDL', 'valor_STFR_FEB23', 'valor_VIT_B12']",396
3,"['valor_COL_HDL', 'valor_STFR_FEB23', 'valor_VIT_D']",396
3,"['valor_COL_HDL', 'valor_VIT_B12', 'valor_VIT_D']",374
3,"['valor_COL_LDL', 'valor_COLEST', 'valor_CREAT']",374
3,"['valor_COL_LDL', 'valor_COLEST', 'valor_GLU_SUERO']",374
3,"['valor_COL_LDL', 'valor_COLEST', 'valor_INSULINA']",374
3,"['valor_COL_LDL', 'valor_COLEST', 'valor_PCR']",374
3,"['valor_COL_LDL', 'valor_COLEST', 'valor_TRIG']",374
3,"['valor_COL_LDL', 'valor_COLEST', 'valor_EAG']",374
3,"['valor_COL_LDL', 'valor_COLEST', 'valor_HB1AC']",374
3,"['valor_COL_LDL', 'valor_COLEST', 'valor_FERRITINA']",374
3,"['valor_COL_LDL', 'valor_COLEST', 'valor_FOL']",374
3,"['valor_COL_LDL', 'valor_COLEST', 'valor_HCST']",374
3,"['valor_COL_LDL', 'valor_COLEST', 'valor_PROTCREAC']",375
3,"['valor_COL_LDL', 'valor_COLEST', 'valor_STFR_FEB23']",396
3,"['valor_COL_LDL', 'valor_COLEST', 'valor_VIT_B12']",374
3,"['valor_COL_LDL', 'valor_COLEST', 'valor_VIT_D']",374
3,"['valor_COL_LDL', 'valor_CREAT', 'valor_GLU_SUERO']",374
3,"['valor_COL_LDL', 'valor_CREAT', 'valor_INSULINA']",374
3,"['valor_COL_LDL', 'valor_CREAT', 'valor_PCR']",374
3,"['valor_COL_LDL', 'valor_CREAT', 'valor_TRIG']",374
3,"['valor_COL_LDL', 'valor_CREAT', 'valor_EAG']",374
3,"['valor_COL_LDL', 'valor_CREAT', 'valor_HB1AC']",374
3,"['valor_COL_LDL', 'valor_CREAT', 'valor_FERRITINA']",374
3,"['valor_COL_LDL', 'valor_CREAT', 'valor_FOL']",374
3,"['valor_COL_LDL', 'valor_CREAT', 'valor_HCST']",374
3,"['valor_COL_LDL', 'valor_CREAT', 'valor_PROTCREAC']",375
3,"['valor_COL_LDL', 'valor_CREAT', 'valor_STFR_FEB23']",396
3,"['valor_COL_LDL', 'valor_CREAT', 'valor_VIT_B12']",374
3,"['valor_COL_LDL', 'valor_CREAT', 'valor_VIT_D']",374
3,"['valor_COL_LDL', 'valor_GLU_SUERO', 'valor_INSULINA']",374
3,"['valor_COL_LDL', 'valor_GLU_SUERO', 'valor_PCR']",374
3,"['valor_COL_LDL', 'valor_GLU_SUERO', 'valor_TRIG']",374
3,"['valor_COL_LDL', 'valor_GLU_SUERO', 'valor_EAG']",374
3,"['valor_COL_LDL', 'valor_GLU_SUERO', 'valor_HB1AC']",374
3,"['valor_COL_LDL', 'valor_GLU_SUERO', 'valor_FERRITINA']",374
3,"['valor_COL_LDL', 'valor_GLU_SUERO', 'valor_FOL']",374
3,"['valor_COL_LDL', 'valor_GLU_SUERO', 'valor_HCST']",374
3,"['valor_COL_LDL', 'valor_GLU_SUERO', 'valor_PROTCREAC']",375
3,"['valor_COL_LDL', 'valor_GLU_SUERO', 'valor_STFR_FEB23']",396
3,"['valor_COL_LDL', 'valor_GLU_SUERO', 'valor_VIT_B12']",374
3,"['valor_COL_LDL', 'valor_GLU_SUERO', 'valor_VIT_D']",374
3,"['valor_COL_LDL', 'valor_INSULINA', 'valor_PCR']",374
3,"['valor_COL_LDL', 'valor_INSULINA', 'valor_TRIG']",374
3,"['valor_COL_LDL', 'valor_INSULINA', 'valor_EAG']",374
3,"['valor_COL_LDL', 'valor_INSULINA', 'valor_HB1AC']",374
3,"['valor_COL_LDL', 'valor_INSULINA', 'valor_FERRITINA']",374
3,"['valor_COL_LDL', 'valor_INSULINA', 'valor_FOL']",374
3,"['valor_COL_LDL', 'valor_INSULINA', 'valor_HCST']",374
3,"['valor_COL_LDL', 'valor_INSULINA', 'valor_PROTCREAC']",375
3,"['valor_COL_LDL', 'valor_INSULINA', 'valor_STFR_FEB23']",396
3,"['valor_COL_LDL', 'valor_INSULINA', 'valor_VIT_B12']",374
3,"['valor_COL_LDL', 'valor_INSULINA', 'valor_VIT_D']",374
3,"['valor_COL_LDL', 'valor_PCR', 'valor_TRIG']",374
3,"['valor_COL_LDL', 'valor_PCR', 'valor_EAG']",374
3,"['valor_COL_LDL', 'valor_PCR', 'valor_HB1AC']",374
3,"['valor_COL_LDL', 'valor_PCR', 'valor_FERRITINA']",374
3,"['valor_COL_LDL', 'valor_PCR', 'valor_FOL']",374
3,"['valor_COL_LDL', 'valor_PCR', 'valor_HCST']",374
3,"['valor_COL_LDL', 'valor_PCR', 'valor_PROTCREAC']",375
3,"['valor_COL_LDL', 'valor_PCR', 'valor_STFR_FEB23']",396
3,"['valor_COL_LDL', 'valor_PCR', 'valor_VIT_B12']",374
3,"['valor_COL_LDL', 'valor_PCR', 'valor_VIT_D']",374
3,"['valor_COL_LDL', 'valor_TRIG', 'valor_EAG']",374
3,"['valor_COL_LDL', 'valor_TRIG', 'valor_HB1AC']",374
3,"['valor_COL_LDL', 'valor_TRIG', 'valor_FERRITINA']",374
3,"['valor_COL_LDL', 'valor_TRIG', 'valor_FOL']",374
3,"['valor_COL_LDL', 'valor_TRIG', 'valor_HCST']",374
3,"['valor_COL_LDL', 'valor_TRIG', 'valor_PROTCREAC']",375
3,"['valor_COL_LDL', 'valor_TRIG', 'valor_STFR_FEB23']",396
3,"['valor_COL_LDL', 'valor_TRIG', 'valor_VIT_B12']",374
3,"['valor_COL_LDL', 'valor_TRIG', 'valor_VIT_D']",374
3,"['valor_COL_LDL', 'valor_EAG', 'valor_HB1AC']",376
3,"['valor_COL_LDL', 'valor_EAG', 'valor_FERRITINA']",374
3,"['valor_COL_LDL', 'valor_EAG', 'valor_FOL']",374
3,"['valor_COL_LDL', 'valor_EAG', 'valor_HCST']",374
3,"['valor_COL_LDL', 'valor_EAG', 'valor_PROTCREAC']",375
3,"['valor_COL_LDL', 'valor_EAG', 'valor_STFR_FEB23']",396
3,"['valor_COL_LDL', 'valor_EAG', 'valor_VIT_B12']",374
3,"['valor_COL_LDL', 'valor_EAG', 'valor_VIT_D']",374
3,"['valor_COL_LDL', 'valor_HB1AC', 'valor_FERRITINA']",374
3,"['valor_COL_LDL', 'valor_HB1AC', 'valor_FOL']",374
3,"['valor_COL_LDL', 'valor_HB1AC', 'valor_HCST']",374
3,"['valor_COL_LDL', 'valor_HB1AC', 'valor_PROTCREAC']",375
3,"['valor_COL_LDL', 'valor_HB1AC', 'valor_STFR_FEB23']",396
3,"['valor_COL_LDL', 'valor_HB1AC', 'valor_VIT_B12']",374
3,"['valor_COL_LDL', 'valor_HB1AC', 'valor_VIT_D']",374
3,"['valor_COL_LDL', 'valor_FERRITINA', 'valor_FOL']",374
3,"['valor_COL_LDL', 'valor_FERRITINA', 'valor_HCST']",374
3,"['valor_COL_LDL', 'valor_FERRITINA', 'valor_PROTCREAC']",375
3,"['valor_COL_LDL', 'valor_FERRITINA', 'valor_STFR_FEB23']",396
3,"['valor_COL_LDL', 'valor_FERRITINA', 'valor_VIT_B12']",374
3,"['valor_COL_LDL', 'valor_FERRITINA', 'valor_VIT_D']",374
3,"['valor_COL_LDL', 'valor_FOL', 'valor_HCST']",374
3,"['valor_COL_LDL', 'valor_FOL', 'valor_PROTCREAC']",375
3,"['valor_COL_LDL', 'valor_FOL', 'valor_STFR_FEB23']",396
3,"['valor_COL_LDL', 'valor_FOL', 'valor_VIT_B12']",374
3,"['valor_COL_LDL', 'valor_FOL', 'valor_VIT_D']",374
3,"['valor_COL_LDL', 'valor_HCST', 'valor_PROTCREAC']",375
3,"['valor_COL_LDL', 'valor_HCST', 'valor_STFR_FEB23']",396
3,"['valor_COL_LDL', 'valor_HCST', 'valor_VIT_B12']",374
3,"['valor_COL_LDL', 'valor_HCST', 'valor_VIT_D']",374
3,"['valor_COL_LDL', 'valor_PROTCREAC', 'valor_STFR_FEB23']",397
3,"['valor_COL_LDL', 'valor_PROTCREAC', 'valor_VIT_B12']",375
3,"['valor_COL_LDL', 'valor_PROTCREAC', 'valor_VIT_D']",375
3,"['valor_COL_LDL', 'valor_STFR_FEB23', 'valor_VIT_B12']",396
3,"['valor_COL_LDL', 'valor_STFR_FEB23', 'valor_VIT_D']",396
3,"['valor_COL_LDL', 'valor_VIT_B12', 'valor_VIT_D']",374
3,"['valor_COLEST', 'valor_CREAT', 'valor_GLU_SUERO']",374
3,"['valor_COLEST', 'valor_CREAT', 'valor_INSULINA']",374
3,"['valor_COLEST', 'valor_CREAT', 'valor_PCR']",374
3,"['valor_COLEST', 'valor_CREAT', 'valor_TRIG']",374
3,"['valor_COLEST', 'valor_CREAT', 'valor_EAG']",374
3,"['valor_COLEST', 'valor_CREAT', 'valor_HB1AC']",374
3,"['valor_COLEST', 'valor_CREAT', 'valor_FERRITINA']",374
3,"['valor_COLEST', 'valor_CREAT', 'valor_FOL']",374
3,"['valor_COLEST', 'valor_CREAT', 'valor_HCST']",374
3,"['valor_COLEST', 'valor_CREAT', 'valor_PROTCREAC']",375
3,"['valor_COLEST', 'valor_CREAT', 'valor_STFR_FEB23']",396
3,"['valor_COLEST', 'valor_CREAT', 'valor_VIT_B12']",374
3,"['valor_COLEST', 'valor_CREAT', 'valor_VIT_D']",374
3,"['valor_COLEST', 'valor_GLU_SUERO', 'valor_INSULINA']",374
3,"['valor_COLEST', 'valor_GLU_SUERO', 'valor_PCR']",374
3,"['valor_COLEST', 'valor_GLU_SUERO', 'valor_TRIG']",374
3,"['valor_COLEST', 'valor_GLU_SUERO', 'valor_EAG']",374
3,"['valor_COLEST', 'valor_GLU_SUERO', 'valor_HB1AC']",374
3,"['valor_COLEST', 'valor_GLU_SUERO', 'valor_FERRITINA']",374
3,"['valor_COLEST', 'valor_GLU_SUERO', 'valor_FOL']",374
3,"['valor_COLEST', 'valor_GLU_SUERO', 'valor_HCST']",374
3,"['valor_COLEST', 'valor_GLU_SUERO', 'valor_PROTCREAC']",375
3,"['valor_COLEST', 'valor_GLU_SUERO', 'valor_STFR_FEB23']",396
3,"['valor_COLEST', 'valor_GLU_SUERO', 'valor_VIT_B12']",374
3,"['valor_COLEST', 'valor_GLU_SUERO', 'valor_VIT_D']",374
3,"['valor_COLEST', 'valor_INSULINA', 'valor_PCR']",374
3,"['valor_COLEST', 'valor_INSULINA', 'valor_TRIG']",374
3,"['valor_COLEST', 'valor_INSULINA', 'valor_EAG']",374
3,"['valor_COLEST', 'valor_INSULINA', 'valor_HB1AC']",374
3,"['valor_COLEST', 'valor_INSULINA', 'valor_FERRITINA']",374
3,"['valor_COLEST', 'valor_INSULINA', 'valor_FOL']",374
3,"['valor_COLEST', 'valor_INSULINA', 'valor_HCST']",374
3,"['valor_COLEST', 'valor_INSULINA', 'valor_PROTCREAC']",375
3,"['valor_COLEST', 'valor_INSULINA', 'valor_STFR_FEB23']",396
3,"['valor_COLEST', 'valor_INSULINA', 'valor_VIT_B12']",374
3,"['valor_COLEST', 'valor_INSULINA', 'valor_VIT_D']",374
3,"['valor_COLEST', 'valor_PCR', 'valor_TRIG']",374
3,"['valor_COLEST', 'valor_PCR', 'valor_EAG']",374
3,"['valor_COLEST', 'valor_PCR', 'valor_HB1AC']",374
3,"['valor_COLEST', 'valor_PCR', 'valor_FERRITINA']",374
3,"['valor_COLEST', 'valor_PCR', 'valor_FOL']",374
3,"['valor_COLEST', 'valor_PCR', 'valor_HCST']",374
3,"['valor_COLEST', 'valor_PCR', 'valor_PROTCREAC']",375
3,"['valor_COLEST', 'valor_PCR', 'valor_STFR_FEB23']",396
3,"['valor_COLEST', 'valor_PCR', 'valor_VIT_B12']",374
3,"['valor_COLEST', 'valor_PCR', 'valor_VIT_D']",374
3,"['valor_COLEST', 'valor_TRIG', 'valor_EAG']",374
3,"['valor_COLEST', 'valor_TRIG', 'valor_HB1AC']",374
3,"['valor_COLEST', 'valor_TRIG', 'valor_FERRITINA']",374
3,"['valor_COLEST', 'valor_TRIG', 'valor_FOL']",374
3,"['valor_COLEST', 'valor_TRIG', 'valor_HCST']",374
3,"['valor_COLEST', 'valor_TRIG', 'valor_PROTCREAC']",375
3,"['valor_COLEST', 'valor_TRIG', 'valor_STFR_FEB23']",396
3,"['valor_COLEST', 'valor_TRIG', 'valor_VIT_B12']",374
3,"['valor_COLEST', 'valor_TRIG', 'valor_VIT_D']",374
3,"['valor_COLEST', 'valor_EAG', 'valor_HB1AC']",376
3,"['valor_COLEST', 'valor_EAG', 'valor_FERRITINA']",374
3,"['valor_COLEST', 'valor_EAG', 'valor_FOL']",374
3,"['valor_COLEST', 'valor_EAG', 'valor_HCST']",374
3,"['valor_COLEST', 'valor_EAG', 'valor_PROTCREAC']",375
3,"['valor_COLEST', 'valor_EAG', 'valor_STFR_FEB23']",396
3,"['valor_COLEST', 'valor_EAG', 'valor_VIT_B12']",374
3,"['valor_COLEST', 'valor_EAG', 'valor_VIT_D']",374
3,"['valor_COLEST', 'valor_HB1AC', 'valor_FERRITINA']",374
3,"['valor_COLEST', 'valor_HB1AC', 'valor_FOL']",374
3,"['valor_COLEST', 'valor_HB1AC', 'valor_HCST']",374
3,"['valor_COLEST', 'valor_HB1AC', 'valor_PROTCREAC']",375
3,"['valor_COLEST', 'valor_HB1AC', 'valor_STFR_FEB23']",396
3,"['valor_COLEST', 'valor_HB1AC', 'valor_VIT_B12']",374
3,"['valor_COLEST', 'valor_HB1AC', 'valor_VIT_D']",374
3,"['valor_COLEST', 'valor_FERRITINA', 'valor_FOL']",374
3,"['valor_COLEST', 'valor_FERRITINA', 'valor_HCST']",374
3,"['valor_COLEST', 'valor_FERRITINA', 'valor_PROTCREAC']",375
3,"['valor_COLEST', 'valor_FERRITINA', 'valor_STFR_FEB23']",396
3,"['valor_COLEST', 'valor_FERRITINA', 'valor_VIT_B12']",374
3,"['valor_COLEST', 'valor_FERRITINA', 'valor_VIT_D']",374
3,"['valor_COLEST', 'valor_FOL', 'valor_HCST']",374
3,"['valor_COLEST', 'valor_FOL', 'valor_PROTCREAC']",375
3,"['valor_COLEST', 'valor_FOL', 'valor_STFR_FEB23']",396
3,"['valor_COLEST', 'valor_FOL', 'valor_VIT_B12']",374
3,"['valor_COLEST', 'valor_FOL', 'valor_VIT_D']",374
3,"['valor_COLEST', 'valor_HCST', 'valor_PROTCREAC']",375
3,"['valor_COLEST', 'valor_HCST', 'valor_STFR_FEB23']",396
3,"['valor_COLEST', 'valor_HCST', 'valor_VIT_B12']",374
3,"['valor_COLEST', 'valor_HCST', 'valor_VIT_D']",374
3,"['valor_COLEST', 'valor_PROTCREAC', 'valor_STFR_FEB23']",397
3,"['valor_COLEST', 'valor_PROTCREAC', 'valor_VIT_B12']",375
3,"['valor_COLEST', 'valor_PROTCREAC', 'valor_VIT_D']",375
3,"['valor_COLEST', 'valor_STFR_FEB23', 'valor_VIT_B12']",396
3,"['valor_COLEST', 'valor_STFR_FEB23', 'valor_VIT_D']",396
3,"['valor_COLEST', 'valor_VIT_B12', 'valor_VIT_D']",374
3,"['valor_CREAT', 'valor_GLU_SUERO', 'valor_INSULINA']",374
3,"['valor_CREAT', 'valor_GLU_SUERO', 'valor_PCR']",374
3,"['valor_CREAT', 'valor_GLU_SUERO', 'valor_TRIG']",374
3,"['valor_CREAT', 'valor_GLU_SUERO', 'valor_EAG']",374
3,"['valor_CREAT', 'valor_GLU_SUERO', 'valor_HB1AC']",374
3,"['valor_CREAT', 'valor_GLU_SUERO', 'valor_FERRITINA']",374
3,"['valor_CREAT', 'valor_GLU_SUERO', 'valor_FOL']",374
3,"['valor_CREAT', 'valor_GLU_SUERO', 'valor_HCST']",374
3,"['valor_CREAT', 'valor_GLU_SUERO', 'valor_PROTCREAC']",375
3,"['valor_CREAT', 'valor_GLU_SUERO', 'valor_STFR_FEB23']",396
3,"['valor_CREAT', 'valor_GLU_SUERO', 'valor_VIT_B12']",374
3,"['valor_CREAT', 'valor_GLU_SUERO', 'valor_VIT_D']",374
3,"['valor_CREAT', 'valor_INSULINA', 'valor_PCR']",374
3,"['valor_CREAT', 'valor_INSULINA', 'valor_TRIG']",374
3,"['valor_CREAT', 'valor_INSULINA', 'valor_EAG']",374
3,"['valor_CREAT', 'valor_INSULINA', 'valor_HB1AC']",374
3,"['valor_CREAT', 'valor_INSULINA', 'valor_FERRITINA']",374
3,"['valor_CREAT', 'valor_INSULINA', 'valor_FOL']",374
3,"['valor_CREAT', 'valor_INSULINA', 'valor_HCST']",374
3,"['valor_CREAT', 'valor_INSULINA', 'valor_PROTCREAC']",375
3,"['valor_CREAT', 'valor_INSULINA', 'valor_STFR_FEB23']",396
3,"['valor_CREAT', 'valor_INSULINA', 'valor_VIT_B12']",374
3,"['valor_CREAT', 'valor_INSULINA', 'valor_VIT_D']",374
3,"['valor_CREAT', 'valor_PCR', 'valor_TRIG']",374
3,"['valor_CREAT', 'valor_PCR', 'valor_EAG']",374
3,"['valor_CREAT', 'valor_PCR', 'valor_HB1AC']",374
3,"['valor_CREAT', 'valor_PCR', 'valor_FERRITINA']",374
3,"['valor_CREAT', 'valor_PCR', 'valor_FOL']",374
3,"['valor_CREAT', 'valor_PCR', 'valor_HCST']",374
3,"['valor_CREAT', 'valor_PCR', 'valor_PROTCREAC']",375
3,"['valor_CREAT', 'valor_PCR', 'valor_STFR_FEB23']",396
3,"['valor_CREAT', 'valor_PCR', 'valor_VIT_B12']",374
3,"['valor_CREAT', 'valor_PCR', 'valor_VIT_D']",374
3,"['valor_CREAT', 'valor_TRIG', 'valor_EAG']",374
3,"['valor_CREAT', 'valor_TRIG', 'valor_HB1AC']",374
3,"['valor_CREAT', 'valor_TRIG', 'valor_FERRITINA']",374
3,"['valor_CREAT', 'valor_TRIG', 'valor_FOL']",374
3,"['valor_CREAT', 'valor_TRIG', 'valor_HCST']",374
3,"['valor_CREAT', 'valor_TRIG', 'valor_PROTCREAC']",375
3,"['valor_CREAT', 'valor_TRIG', 'valor_STFR_FEB23']",396
3,"['valor_CREAT', 'valor_TRIG', 'valor_VIT_B12']",374
3,"['valor_CREAT', 'valor_TRIG', 'valor_VIT_D']",374
3,"['valor_CREAT', 'valor_EAG', 'valor_HB1AC']",376
3,"['valor_CREAT', 'valor_EAG', 'valor_FERRITINA']",374
3,"['valor_CREAT', 'valor_EAG', 'valor_FOL']",374
3,"['valor_CREAT', 'valor_EAG', 'valor_HCST']",374
3,"['valor_CREAT', 'valor_EAG', 'valor_PROTCREAC']",375
3,"['valor_CREAT', 'valor_EAG', 'valor_STFR_FEB23']",396
3,"['valor_CREAT', 'valor_EAG', 'valor_VIT_B12']",374
3,"['valor_CREAT', 'valor_EAG', 'valor_VIT_D']",374
3,"['valor_CREAT', 'valor_HB1AC', 'valor_FERRITINA']",374
3,"['valor_CREAT', 'valor_HB1AC', 'valor_FOL']",374
3,"['valor_CREAT', 'valor_HB1AC', 'valor_HCST']",374
3,"['valor_CREAT', 'valor_HB1AC', 'valor_PROTCREAC']",375
3,"['valor_CREAT', 'valor_HB1AC', 'valor_STFR_FEB23']",396
3,"['valor_CREAT', 'valor_HB1AC', 'valor_VIT_B12']",374
3,"['valor_CREAT', 'valor_HB1AC', 'valor_VIT_D']",374
3,"['valor_CREAT', 'valor_FERRITINA', 'valor_FOL']",374
3,"['valor_CREAT', 'valor_FERRITINA', 'valor_HCST']",374
3,"['valor_CREAT', 'valor_FERRITINA', 'valor_PROTCREAC']",375
3,"['valor_CREAT', 'valor_FERRITINA', 'valor_STFR_FEB23']",396
3,"['valor_CREAT', 'valor_FERRITINA', 'valor_VIT_B12']",374
3,"['valor_CREAT', 'valor_FERRITINA', 'valor_VIT_D']",374
3,"['valor_CREAT', 'valor_FOL', 'valor_HCST']",374
3,"['valor_CREAT', 'valor_FOL', 'valor_PROTCREAC']",375
3,"['valor_CREAT', 'valor_FOL', 'valor_STFR_FEB23']",396
3,"['valor_CREAT', 'valor_FOL', 'valor_VIT_B12']",374
3,"['valor_CREAT', 'valor_FOL', 'valor_VIT_D']",374
3,"['valor_CREAT', 'valor_HCST', 'valor_PROTCREAC']",375
3,"['valor_CREAT', 'valor_HCST', 'valor_STFR_FEB23']",396
3,"['valor_CREAT', 'valor_HCST', 'valor_VIT_B12']",374
3,"['valor_CREAT', 'valor_HCST', 'valor_VIT_D']",374
3,"['valor_CREAT', 'valor_PROTCREAC', 'valor_STFR_FEB23']",397
3,"['valor_CREAT', 'valor_PROTCREAC', 'valor_VIT_B12']",375
3,"['valor_CREAT', 'valor_PROTCREAC', 'valor_VIT_D']",375
3,"['valor_CREAT', 'valor_STFR_FEB23', 'valor_VIT_B12']",396
